id;node.name;node.type
n900;Biodiversity;1
n901;Production;1
n902;Crop protection;1
n903;GHG Emissions;1
n904;Pollution;1
n905;Soil fertility;1
n906;Targeted biodiversity;1
n035;Forests located near ag plots;2
n036;Woodland presence;2
n040;Replanting cropland with forests;2
