from;to;type;label;color;weight
n071;n900;1;+;1;1
n904;n071;1;--;2;2
n905;n071;1;--;2;2
n072;n902;1;+;1;1
n902;n072;1;-;2;1
n072;n902;1;++;1;2
n073;n906;1;+;1;1
n074;n904;1;++;1;2
n075;n903;1;+;1;1
n075;n904;1;++;1;2
n901;n075;1;-;2;1
n075;n905;1;+;1;1
n076;n902;1;+;1;1
