from;to;type;label;color;weight
n902;n062;1;0;3;0
n062;n902;1;++;1;2
n063;n902;1;++;1;2
n063;n902;1;+;1;1
n905;n064;1;0;3;0
n900;n065;1;0;3;0
n066;n906;1;++;1;2
n066;n906;1;+;1;1
n067;n904;1;+;1;1
n904;n068;1;-;2;1
n069;n901;1;++;1;2
n070;n902;1;+;1;1
