from;to;type;group;label;color;weight
n905;n108;link;Varietal choice;-;2;2
n905;n148;link;Varietal choice;0;3;1
n905;n161;link;Varietal choice;--;2;2
n906;n025;link;Working the soil;-;2;2
n906;n080;link;Working the soil;0;3;1
n906;n087;link;Working the soil;--;2;2
n906;n097;link;Working the soil;0;3;1
n906;n098;link;Working the soil;-;2;2
n906;n099;link;Working the soil;-;2;1
n906;n100;link;Working the soil;-;2;1
