from;to;group;challenge;label;color;weight
n001;n906;Crop choice;Targeted biodiversity;+;1;1
n002;n904;Crop choice;Pollution;+;1;1
n003;n904;Crop choice;Pollution;+;1;1
n004;n901;Crop choice;Production;0;3;0
n006;n902;Crop choice;Crop protection;+;1;1
n006;n902;Crop choice;Crop protection;++;1;2
n006;n902;Crop choice;Crop protection;+;1;1
n006;n902;Crop choice;Crop protection;+;1;1
n007;n902;Crop choice;Crop protection;++;1;2
n007;n902;Crop choice;Crop protection;+;1;1
n007;n902;Crop choice;Crop protection;+;1;1
n007;n902;Crop choice;Crop protection;-;2;1
n008;n903;Crop choice;GHG Emissions;++;1;2
n009;n900;Crop choice;Biodiversity;+;1;1
n009;n900;Crop choice;Biodiversity;++;1;2
n009;n904;Crop choice;Pollution;++;1;2
n009;n901;Crop choice;Production;-;2;1
n009;n906;Crop choice;Targeted biodiversity;++;1;2
n009;n906;Crop choice;Targeted biodiversity;++;1;2
n009;n906;Crop choice;Targeted biodiversity;++;1;2
n010;n903;Crop choice;GHG Emissions;+;1;1
n011;n902;Crop choice;Crop protection;++;1;2
n011;n906;Crop choice;Targeted biodiversity;+;1;1
n011;n906;Crop choice;Targeted biodiversity;-;2;1
n011;n906;Crop choice;Targeted biodiversity;+;1;1
n012;n904;Crop choice;Pollution;+;1;1
n013;n905;Crop choice;Soil fertility;++;1;2
n014;n906;Crop choice;Targeted biodiversity;+;1;1
n014;n906;Crop choice;Targeted biodiversity;+;1;1
n016;n905;Crop choice;Soil fertility;+;1;1
n017;n904;Crop choice;Pollution;++;1;2
n017;n904;Crop choice;Pollution;+;1;1
n018;n906;Crop choice;Targeted biodiversity;+;1;1
n018;n906;Crop choice;Targeted biodiversity;+;1;1
n019;n903;Crop choice;GHG Emissions;++;1;2
n020;n905;Crop choice;Soil fertility;++;1;2
n021;n900;Forest;Biodiversity;++;1;2
n021;n903;Forest;GHG Emissions;++;1;2
n021;n904;Forest;Pollution;+;1;1
n021;n905;Forest;Soil fertility;++;1;2
n022;n903;Forest;GHG Emissions;++;1;2
n022;n901;Forest;Production;+;1;1
n022;n906;Forest;Targeted biodiversity;++;1;2
n023;n902;Forest;Crop protection;+;1;1
n023;n902;Forest;Crop protection;-;2;1
n024;n906;Infrastructure AE;Targeted biodiversity;++;1;2
n024;n906;Infrastructure AE;Targeted biodiversity;++;1;2
n025;n902;Infrastructure AE;Crop protection;+;1;1
n025;n902;Infrastructure AE;Crop protection;-;2;1
n025;n902;Infrastructure AE;Crop protection;0;3;0
n025;n903;Infrastructure AE;GHG Emissions;+;1;1
n025;n903;Infrastructure AE;GHG Emissions;+;1;1
n025;n904;Infrastructure AE;Pollution;+;1;1
n025;n901;Infrastructure AE;Production;0;3;0
n025;n906;Infrastructure AE;Targeted biodiversity;+;1;1
n025;n906;Infrastructure AE;Targeted biodiversity;+;1;1
n026;n902;Infrastructure AE;Crop protection;?;3;#N/A
n026;n904;Infrastructure AE;Pollution;+;1;1
n026;n906;Infrastructure AE;Targeted biodiversity;+;1;1
n026;n906;Infrastructure AE;Targeted biodiversity;+;1;1
n027;n900;Infrastructure AE;Biodiversity;++;1;2
